,group
Start,1990-04-30
End,2024-08-30
Period,413
Start Value,1.0
End Value,7.362101899978861
Total Return [%],636.2101899978861
Benchmark Return [%],1607.4969770253915
Max Gross Exposure [%],100.0
Total Fees Paid,0.0
Max Drawdown [%],52.555861054099054
Max Drawdown Duration,64.0
Total Trades,6
Total Closed Trades,6
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],83.33333333333334
Best Trade [%],259.3357062215059
Worst Trade [%],-0.10540674603174427
Avg Winning Trade [%],68.57687765905538
Avg Losing Trade [%],-0.10540674603174427
Avg Winning Trade Duration,66.2
Avg Losing Trade Duration,3.0
Profit Factor,6036.76349663887
Expectancy,1.0603503166631436
