,SPX,EPS,TBill,EP,Spread,Signal,SPX_ret,TBill_ret,Strategy_ret
1990-04-30,330.8,27.7986,0.086875,0.08403446191051996,-0.002840538089480038,0,0.09198911729141468,0.007239583333333333,0.007239583333333333
1990-05-31,361.23,27.8366,0.08375,0.07706059851064419,-0.006689401489355817,0,-0.008886305124159222,0.006979166666666667,0.006979166666666667
1990-06-29,358.02,27.0567,0.08375,0.07557315233785822,-0.008176847662141787,0,-0.005223171889838563,0.006979166666666667,0.006979166666666667
1990-07-31,356.15,26.7549,0.079375,0.07512256071879826,-0.004252439281201739,0,-0.09431419345781267,0.006614583333333333,0.006614583333333333
1990-08-31,322.56,26.4707,0.080625,0.08206442212301587,0.001439422123015871,1,-0.05118427579365081,0.00671875,-0.05118427579365081
1990-09-28,306.05,26.0833,0.083125,0.0852256167292926,0.002100616729292598,1,-0.006698251919621034,0.006927083333333334,-0.006698251919621034
1990-10-31,304.0,25.6296,0.080625,0.08430789473684211,0.0036828947368421072,1,0.05993421052631587,0.00671875,0.05993421052631587
1990-11-30,322.22,25.2381,0.08380000000000001,0.07832567810812488,-0.0054743218918751335,0,0.02482775743280996,0.0069833333333333344,0.0069833333333333344
1990-12-31,330.22,25.1063,0.07629999999999999,0.0760290109623887,-0.00027098903761128834,0,0.04151777602810247,0.006358333333333333,0.006358333333333333
1991-01-31,343.93,23.9385,0.0706,0.06960282615648533,-0.0009971738435146649,0,0.06728113278864889,0.005883333333333333,0.005883333333333333
1991-02-28,367.07,23.9091,0.0688,0.0651349878769717,-0.003665012123028305,0,0.022202849592720897,0.005733333333333333,0.005733333333333333
1991-03-29,375.22,26.6403,0.06375,0.07099914716699536,0.0072491471669953594,1,0.0003464634081338236,0.0053125,0.0003464634081338236
1991-04-30,375.35,26.7101,0.060599999999999994,0.07116051685093912,0.010560516850939124,1,0.03857732782736112,0.00505,0.03857732782736112
1991-05-31,389.83,26.2113,0.060599999999999994,0.0672377703101352,0.006637770310135203,1,-0.047892671164353584,0.00505,-0.047892671164353584
1991-06-28,371.16,25.2919,0.061875,0.06814284944498329,0.006267849444983292,1,0.04485935984481082,0.00515625,0.04485935984481082
1991-07-31,387.81,24.8523,0.06,0.06408370078131044,0.0040837007813104426,1,0.01964879709135925,0.005,0.01964879709135925
1991-08-30,395.43,24.4101,0.056875,0.06173052120476443,0.004855521204764429,1,-0.01914371696634043,0.0047395833333333335,-0.01914371696634043
1991-09-30,387.86,24.1356,0.05625,0.06222760789975764,0.005977607899757639,1,0.011859949466302089,0.0046875,0.011859949466302089
1991-10-31,392.46,23.7639,0.053125,0.06055113896957652,0.007426138969576522,1,-0.043928043622279866,0.004427083333333333,-0.043928043622279866
1991-11-29,375.22,23.3323,0.049375,0.062182985981557484,0.012807985981557482,1,0.11158786845050894,0.004114583333333334,0.11158786845050894
1991-12-31,417.09,22.8843,0.043125,0.05486657555923182,0.011741575559231825,1,-0.01989978182166907,0.0035937499999999997,-0.01989978182166907
1992-01-31,408.79,18.2848,0.041875,0.044729078499963305,0.002854078499963303,1,0.009564813229286262,0.0034895833333333337,0.009564813229286262
1992-02-28,412.7,17.2685,0.0425,0.04184274291252726,-0.0006572570874727457,0,-0.021831839108311102,0.003541666666666667,0.003541666666666667
1992-03-31,403.69,27.0088,0.043125,0.06690480319056702,0.023779803190567023,1,0.027892689935346437,0.0035937499999999997,0.027892689935346437
1992-04-30,414.95,26.9151,0.040625,0.06486347752741294,0.024238477527412934,1,0.0009639715628388945,0.0033854166666666668,0.0009639715628388945
1992-05-29,415.35,26.8361,0.040625,0.06461081016010593,0.023985810160105932,1,-0.017358853978572397,0.0033854166666666668,-0.017358853978572397
1992-06-30,408.14,26.7152,0.039375,0.06545597099034645,0.026080970990346446,1,0.03937374430342522,0.00328125,0.03937374430342522
1992-07-31,424.21,26.2565,0.034375,0.06189505197897268,0.027520051978972677,1,-0.0239975483840551,0.0028645833333333336,-0.0239975483840551
1992-08-31,414.03,25.8294,0.035,0.06238533439605826,0.02738533439605826,1,0.009105620365674083,0.002916666666666667,0.009105620365674083
1992-09-30,417.8,25.6812,0.03125,0.06146768788894208,0.03021768788894208,1,0.002106270943034838,0.0026041666666666665,0.002106270943034838
