Date,cad_oas,us_hy_oas,us_ig_oas,tsx,vix,us_3m_10y,us_growth_surprises,us_inflation_surprises,us_lei_yoy,us_hard_data_surprises,us_equity_revisions,us_economic_regime,cad_ig_er_index,us_hy_er_index,us_ig_er_index,spx_1bf_eps,spx_1bf_sales,tsx_1bf_eps,tsx_1bf_sales
11/30/2003,79.693865,416.878787,97.762203,7859.39,16.32,422.961,0.5082,-0.17077,6.3,0.4669,0.06,1,102.1920543,107.8957129,102.9070334,61.7386,678.3739,563.1116,6068.3606
12/31/2003,66.942184,392.80869,95.112762,8220.89,18.31,414.849,0.501,-0.38168,7.3,0.349,0,1,102.8098618,109.6152929,103.2062898,62.6681,689.2853,565.8579,6113.5497
1/30/2004,54.143354,374.366673,93.039391,8521.39,16.63,404.754,0.52856,-0.3629,7.3,0.2866,0.1,1,103.0980111,110.9289225,103.3722517,64.1959,688.7735,565.8579,6113.5497
1/31/2004,54.143354,374.366673,93.039391,8521.39,16.63,404.754,0.52856,-0.3629,8.3,0.2866,0.1,1,103.0980111,110.9289225,103.3722517,64.1959,688.7735,565.8579,6113.5497
2/27/2004,56.991062,407.895757,94.087086,8788.49,14.55,389.882,0.40151,-0.12241,8.3,0.0169,0.15,1,103.2120242,109.3784329,103.3408904,65.0118,687.1496,565.8579,6113.5497
2/29/2004,56.991062,407.895757,94.087086,8788.49,14.55,389.882,0.40151,-0.12241,9.7,0.0169,0.15,1,103.2120242,109.3784329,103.3408904,65.0118,687.1496,565.8579,6113.5497
3/31/2004,64.797821,411.934331,97.108244,8585.93,16.74,383.253,0.29172,0.01119,11.2,-0.0549,0.15,1,103.0179819,109.1003158,103.231597,66.7796,688.4623,565.8579,6113.5497
4/30/2004,54.22657,365.997318,91.734787,8243.97,17.19,431.802,0.43103,0.24927,11.8,0.0741,0.29,1,103.1633149,111.6496113,103.5032009,68.6536,691.8796,565.8579,6113.5497
5/31/2004,74.275082,402.670924,98.690208,8417.32,15.5,427.347,0.35782,0.29027,11.6,0.1216,0.17,1,102.9622672,110.1684412,103.175813,70.2567,701.568,565.8579,6113.5497
6/30/2004,62.299757,384.028121,99.888876,8545.58,14.34,401.732,0.3801,0.4341,11.4,0.4077,0.07,0.99,103.0144689,111.3113506,103.1798195,71.5082,720.2273,565.8579,6113.5497
7/30/2004,68.388635,389.123994,97.337581,8458.07,15.32,376.561,0.27038,0.40001,11.4,-0.0054,0.14,0.99,103.0409075,111.82566,103.3809561,72.2963,716.9219,565.8579,6113.5497
7/31/2004,68.388635,389.123994,97.337581,8458.07,15.32,376.561,0.27038,0.40001,11.5,-0.0054,0.14,1,103.0409075,111.82566,103.3809561,72.2963,716.9219,565.8579,6113.5497
8/31/2004,67.05511,392.327629,94.538487,8377.03,15.29,333.127,0.16209,0.04635,11.3,-0.2031,0.15,1,103.1321091,111.8785122,103.5483702,72.8064,723.583,565.8579,6113.5497
